/work/bjzhang_umass_edu/generative_tmula/mymnist/mnist_tapsgm_relu.py:103: UserWarning: To copy construct from a tensor, it is recommended to use sourceTensor.clone().detach() or sourceTensor.clone().detach().requires_grad_(True), rather than torch.tensor(sourceTensor).
tensor(376.3678, device='cuda:0', grad_fn=<MeanBackward1>) 18600
tensor(474.7661, device='cuda:0', grad_fn=<MeanBackward1>) 18700
tensor(1438.4705, device='cuda:0', grad_fn=<MeanBackward1>) 18800
tensor(290.6758, device='cuda:0', grad_fn=<MeanBackward1>) 18900
tensor(13620.0674, device='cuda:0', grad_fn=<MeanBackward1>) 19000
tensor(356.8626, device='cuda:0', grad_fn=<MeanBackward1>) 19100
tensor(188.0674, device='cuda:0', grad_fn=<MeanBackward1>) 19200
tensor(445.9250, device='cuda:0', grad_fn=<MeanBackward1>) 19300
tensor(603.2917, device='cuda:0', grad_fn=<MeanBackward1>) 19400
tensor(270.3366, device='cuda:0', grad_fn=<MeanBackward1>) 19500
tensor(372.7968, device='cuda:0', grad_fn=<MeanBackward1>) 19600
tensor(267.9382, device='cuda:0', grad_fn=<MeanBackward1>) 19700
tensor(384.7592, device='cuda:0', grad_fn=<MeanBackward1>) 19800
tensor(292.5953, device='cuda:0', grad_fn=<MeanBackward1>) 19900
tensor(296.2267, device='cuda:0', grad_fn=<MeanBackward1>) 20000
tensor(436.8108, device='cuda:0', grad_fn=<MeanBackward1>) 20100
tensor(450.2449, device='cuda:0', grad_fn=<MeanBackward1>) 20200
tensor(422.6149, device='cuda:0', grad_fn=<MeanBackward1>) 20300
tensor(507.5162, device='cuda:0', grad_fn=<MeanBackward1>) 20400
tensor(392.8732, device='cuda:0', grad_fn=<MeanBackward1>) 20500
tensor(556.0705, device='cuda:0', grad_fn=<MeanBackward1>) 20600
tensor(506.7600, device='cuda:0', grad_fn=<MeanBackward1>) 20700
tensor(411.4679, device='cuda:0', grad_fn=<MeanBackward1>) 20800
tensor(2188.8586, device='cuda:0', grad_fn=<MeanBackward1>) 20900
tensor(275.0011, device='cuda:0', grad_fn=<MeanBackward1>) 21000
tensor(2156.7366, device='cuda:0', grad_fn=<MeanBackward1>) 21100
tensor(272.6877, device='cuda:0', grad_fn=<MeanBackward1>) 21200
tensor(739.0267, device='cuda:0', grad_fn=<MeanBackward1>) 21300
tensor(408.2733, device='cuda:0', grad_fn=<MeanBackward1>) 21400
tensor(493.9352, device='cuda:0', grad_fn=<MeanBackward1>) 21500
tensor(460.9304, device='cuda:0', grad_fn=<MeanBackward1>) 21600
tensor(650.2057, device='cuda:0', grad_fn=<MeanBackward1>) 21700
tensor(462.1782, device='cuda:0', grad_fn=<MeanBackward1>) 21800
tensor(291.2491, device='cuda:0', grad_fn=<MeanBackward1>) 21900
tensor(286.6781, device='cuda:0', grad_fn=<MeanBackward1>) 22000
tensor(582.3156, device='cuda:0', grad_fn=<MeanBackward1>) 22100
tensor(2995.9629, device='cuda:0', grad_fn=<MeanBackward1>) 22200
tensor(2072.9436, device='cuda:0', grad_fn=<MeanBackward1>) 22300
tensor(600.7512, device='cuda:0', grad_fn=<MeanBackward1>) 22400
tensor(270.6740, device='cuda:0', grad_fn=<MeanBackward1>) 22500
tensor(224.1924, device='cuda:0', grad_fn=<MeanBackward1>) 22600
tensor(299.1840, device='cuda:0', grad_fn=<MeanBackward1>) 22700
tensor(414.9998, device='cuda:0', grad_fn=<MeanBackward1>) 22800
tensor(579.2881, device='cuda:0', grad_fn=<MeanBackward1>) 22900
tensor(570.4098, device='cuda:0', grad_fn=<MeanBackward1>) 23000
tensor(402.5312, device='cuda:0', grad_fn=<MeanBackward1>) 23100
tensor(274.7777, device='cuda:0', grad_fn=<MeanBackward1>) 23200
tensor(638.6429, device='cuda:0', grad_fn=<MeanBackward1>) 23300
tensor(527.9620, device='cuda:0', grad_fn=<MeanBackward1>) 23400
tensor(303.4726, device='cuda:0', grad_fn=<MeanBackward1>) 23500
tensor(455.0392, device='cuda:0', grad_fn=<MeanBackward1>) 23600
tensor(364.0067, device='cuda:0', grad_fn=<MeanBackward1>) 23700
tensor(260.1279, device='cuda:0', grad_fn=<MeanBackward1>) 23800
tensor(995.0287, device='cuda:0', grad_fn=<MeanBackward1>) 23900
tensor(343.3544, device='cuda:0', grad_fn=<MeanBackward1>) 24000
tensor(798.8474, device='cuda:0', grad_fn=<MeanBackward1>) 24100
tensor(327.5243, device='cuda:0', grad_fn=<MeanBackward1>) 24200
tensor(439.0117, device='cuda:0', grad_fn=<MeanBackward1>) 24300
tensor(875.7972, device='cuda:0', grad_fn=<MeanBackward1>) 24400
tensor(278.5349, device='cuda:0', grad_fn=<MeanBackward1>) 24500
tensor(244.4427, device='cuda:0', grad_fn=<MeanBackward1>) 24600
tensor(285.9228, device='cuda:0', grad_fn=<MeanBackward1>) 24700
tensor(507.2222, device='cuda:0', grad_fn=<MeanBackward1>) 24800
tensor(562.9536, device='cuda:0', grad_fn=<MeanBackward1>) 24900
tensor(300.8638, device='cuda:0', grad_fn=<MeanBackward1>) 25000
tensor(1061.8137, device='cuda:0', grad_fn=<MeanBackward1>) 25100
tensor(374.2235, device='cuda:0', grad_fn=<MeanBackward1>) 25200
tensor(486.7566, device='cuda:0', grad_fn=<MeanBackward1>) 25300
tensor(288.5933, device='cuda:0', grad_fn=<MeanBackward1>) 25400
tensor(525.7424, device='cuda:0', grad_fn=<MeanBackward1>) 25500
tensor(936.2233, device='cuda:0', grad_fn=<MeanBackward1>) 25600
tensor(875.5373, device='cuda:0', grad_fn=<MeanBackward1>) 25700
tensor(378.0117, device='cuda:0', grad_fn=<MeanBackward1>) 25800
tensor(439.9969, device='cuda:0', grad_fn=<MeanBackward1>) 25900
tensor(484.1489, device='cuda:0', grad_fn=<MeanBackward1>) 26000
tensor(259.8867, device='cuda:0', grad_fn=<MeanBackward1>) 26100
tensor(520.7515, device='cuda:0', grad_fn=<MeanBackward1>) 26200
tensor(490.6179, device='cuda:0', grad_fn=<MeanBackward1>) 26300
tensor(503.5326, device='cuda:0', grad_fn=<MeanBackward1>) 26400
tensor(554.9174, device='cuda:0', grad_fn=<MeanBackward1>) 26500
tensor(518.4530, device='cuda:0', grad_fn=<MeanBackward1>) 26600
tensor(479.7867, device='cuda:0', grad_fn=<MeanBackward1>) 26700
tensor(4327.8184, device='cuda:0', grad_fn=<MeanBackward1>) 26800
tensor(567.3394, device='cuda:0', grad_fn=<MeanBackward1>) 26900
tensor(263.9980, device='cuda:0', grad_fn=<MeanBackward1>) 27000
tensor(314.7618, device='cuda:0', grad_fn=<MeanBackward1>) 27100
tensor(1879.1010, device='cuda:0', grad_fn=<MeanBackward1>) 27200
tensor(308.7640, device='cuda:0', grad_fn=<MeanBackward1>) 27300
tensor(428.9669, device='cuda:0', grad_fn=<MeanBackward1>) 27400
tensor(297.6904, device='cuda:0', grad_fn=<MeanBackward1>) 27500
tensor(782.6396, device='cuda:0', grad_fn=<MeanBackward1>) 27600
tensor(765.2098, device='cuda:0', grad_fn=<MeanBackward1>) 27700
tensor(1093.0813, device='cuda:0', grad_fn=<MeanBackward1>) 27800
tensor(2535.6221, device='cuda:0', grad_fn=<MeanBackward1>) 27900
tensor(331.3225, device='cuda:0', grad_fn=<MeanBackward1>) 28000
tensor(2074.4214, device='cuda:0', grad_fn=<MeanBackward1>) 28100
tensor(283.2294, device='cuda:0', grad_fn=<MeanBackward1>) 28200
tensor(329.2598, device='cuda:0', grad_fn=<MeanBackward1>) 28300
tensor(194.7720, device='cuda:0', grad_fn=<MeanBackward1>) 28400
tensor(378.3502, device='cuda:0', grad_fn=<MeanBackward1>) 28500
tensor(542.4214, device='cuda:0', grad_fn=<MeanBackward1>) 28600
tensor(344.6707, device='cuda:0', grad_fn=<MeanBackward1>) 28700
tensor(370.0778, device='cuda:0', grad_fn=<MeanBackward1>) 28800
tensor(519.1178, device='cuda:0', grad_fn=<MeanBackward1>) 28900
