/work/bjzhang_umass_edu/generative_tmula/mymnist/mnist_tapsgm_relu.py:103: UserWarning: To copy construct from a tensor, it is recommended to use sourceTensor.clone().detach() or sourceTensor.clone().detach().requires_grad_(True), rather than torch.tensor(sourceTensor).
tensor(335.5657, device='cuda:0', grad_fn=<MeanBackward1>) 31300
tensor(410.2692, device='cuda:0', grad_fn=<MeanBackward1>) 31400
tensor(300.2745, device='cuda:0', grad_fn=<MeanBackward1>) 31500
tensor(380.5394, device='cuda:0', grad_fn=<MeanBackward1>) 31600
tensor(423.6344, device='cuda:0', grad_fn=<MeanBackward1>) 31700
tensor(624.3010, device='cuda:0', grad_fn=<MeanBackward1>) 31800
tensor(1423.9479, device='cuda:0', grad_fn=<MeanBackward1>) 31900
tensor(862.0769, device='cuda:0', grad_fn=<MeanBackward1>) 32000
tensor(340.6691, device='cuda:0', grad_fn=<MeanBackward1>) 32100
tensor(264.2657, device='cuda:0', grad_fn=<MeanBackward1>) 32200
tensor(1019.0679, device='cuda:0', grad_fn=<MeanBackward1>) 32300
tensor(489.8293, device='cuda:0', grad_fn=<MeanBackward1>) 32400
tensor(1325.1512, device='cuda:0', grad_fn=<MeanBackward1>) 32500
tensor(283.4982, device='cuda:0', grad_fn=<MeanBackward1>) 32600
tensor(820.8083, device='cuda:0', grad_fn=<MeanBackward1>) 32700
tensor(700.9456, device='cuda:0', grad_fn=<MeanBackward1>) 32800
tensor(432.8706, device='cuda:0', grad_fn=<MeanBackward1>) 32900
tensor(12044.2100, device='cuda:0', grad_fn=<MeanBackward1>) 33000
tensor(479.5866, device='cuda:0', grad_fn=<MeanBackward1>) 33100
tensor(693.6929, device='cuda:0', grad_fn=<MeanBackward1>) 33200
tensor(513.0936, device='cuda:0', grad_fn=<MeanBackward1>) 33300
tensor(525.3997, device='cuda:0', grad_fn=<MeanBackward1>) 33400
tensor(439.5880, device='cuda:0', grad_fn=<MeanBackward1>) 33500
tensor(427.7397, device='cuda:0', grad_fn=<MeanBackward1>) 33600
tensor(897.6096, device='cuda:0', grad_fn=<MeanBackward1>) 33700
tensor(461.3436, device='cuda:0', grad_fn=<MeanBackward1>) 33800
tensor(868.5187, device='cuda:0', grad_fn=<MeanBackward1>) 33900
tensor(311.9404, device='cuda:0', grad_fn=<MeanBackward1>) 34000
tensor(644.6628, device='cuda:0', grad_fn=<MeanBackward1>) 34100
tensor(408.1877, device='cuda:0', grad_fn=<MeanBackward1>) 34200
